"","No","ORF","Gene","Ch","Mean","Mean.1","X3153A","SD","p.value","p.paired","X3153A.1","SD2","start","end","strand","flag47b","p.complete.compensation","p.zero.compensation","compflag"
"2704",2723,"orf19.2794","","1",336.8,346.5,1,0.457,0.802163021,0.497002258,0.9,0.04,1625260,1626093,"W",NA,NA,NA,NA
"2705",2724,"orf19.2792","IST2","1",592,591.9,1,2.038,0.733080207,0.503651496,1,0.051,1629144,1626286,"C",NA,NA,NA,NA
"2706",2725,"orf19.2791","","1",1020.4,807.9,0.8,0.448,0.623397737,0.394638786,1.1,0.167,1634762,1631898,"C",NA,NA,NA,NA
"2707",2726,"orf19.2790","SWD2","1",367.7,319.6,0.9,0.167,0.935385134,0.183038037,1.1,0.152,1635240,1636334,"W",NA,NA,NA,NA
"2708",2727,"orf19.2789","","1",119.7,158.7,1.3,0.666,0.230556025,0.062857612,1,0.037,1636942,1637901,"W",NA,NA,NA,NA
"2709",2728,"orf19.2788","","1",21.3,47.9,1,3.229,0.90415974,0.847013971,1,0.047,1639135,1637927,"C",NA,NA,NA,NA
"2710",2729,"orf19.2787","PRY1","1",114.5,83.7,0.7,0.211,0.766862364,0.035510895,1,0.117,1640814,1639582,"C",NA,NA,NA,NA
"2711",2730,"orf19.2786","","1",578.6,543.8,0.9,0.534,0.947996846,0.872816242,1,0.032,1645192,1642067,"C",NA,NA,NA,NA
"2712",2731,"orf19.2785","ATP7","1",5495.3,7044.9,1.3,0.414,0.596443488,0.32097554,0.9,0.051,1645704,1646228,"W",NA,NA,NA,NA
"2713",2732,"orf19.2784","","1",1208.9,1571.8,1.3,0.168,0.959650087,0.081573934,1,0.045,1647328,1646384,"C",NA,NA,NA,NA
"2714",2733,"orf19.2783","PIR32","1",1993.2,2445.1,1.2,0.229,0.96781838,0.221382226,1,0.058,1648912,1647638,"C",NA,NA,NA,NA
"2715",2734,"orf19.2782","","1",1229.2,1853.1,1.5,0.391,0.303341221,0.002156682,0.9,0.162,1649731,1650258,"W",NA,NA,NA,NA
"2716",2735,"orf19.2781","","1",64,74.5,1,0.362,0.934146238,0.435267503,1,0.046,1653745,1651229,"C",NA,NA,NA,NA
"2717",2736,"orf19.2779","","1",505.4,727.9,1.4,0.302,0.283179752,0.065961984,1.1,0.157,1658949,1659461,"W",NA,NA,NA,NA
"2718",2737,"orf19.2778","","1",85.5,55,1,0.489,0.227368567,0.10213079,1,0.044,1660272,1662500,"W",NA,NA,NA,NA
"2719",2738,"orf19.1227","ZCF4","1",0,0,1,0,NA,NA,1,0.064,1666503,1667093,"W",NA,NA,NA,NA
"2720",2739,"orf19.1228","HAP2","1",83.1,111.5,1.3,0.645,0.834122644,0.204725096,1,0.075,1668206,1669300,"W",NA,NA,NA,NA
"2721",2740,"orf19.1229","","1",1166.9,1106.6,0.9,0.41,0.673327412,0.326049141,1,0.024,1672965,1669828,"C",NA,NA,NA,NA
"2722",2741,"orf19.1232","VRG4","1",1391.9,1021.7,0.7,0.487,0.622806293,0.324271203,1,0.111,1675356,1674241,"C",NA,NA,NA,NA
"2723",2742,"orf19.1233","ADE4","1",2263.5,1810,0.8,0.383,0.801808262,0.474752743,1,0.052,1678759,1677134,"C",NA,NA,NA,NA
"2724",2743,"orf19.4712","FGR6-3","1",3881.5,2923.8,0.8,0.253,0.655255457,0.093355824,1.2,0.309,1691374,1692912,"W",NA,NA,NA,NA
"2725",2744,"orf19.4713","","1",213.4,141.3,0.7,0.448,0.509087502,0.316904232,1,0.051,1696719,1699295,"W",NA,NA,NA,NA
"2726",2745,"orf19.5049","","1",754.1,786.6,1,0.409,0.917695653,0.863858025,1,0.03,1700264,1699335,"C",NA,NA,NA,NA
"2727",2746,"orf19.5050","MTO1","1",18.7,41.6,1,0.833,0.88067121,0.377159821,1,0.071,1700480,1702567,"W",NA,NA,NA,NA
"2728",2747,"orf19.5051","","1",102.7,51.9,0.5,0.352,0.742957594,0.141437303,1,0.048,1704918,1702648,"C",NA,NA,NA,NA
"2729",2748,"orf19.5052","","1",727.6,652.4,0.9,0.209,0.781856716,0.329441548,1,0.07,1705203,1706363,"W",NA,NA,NA,NA
"2730",2749,"orf19.5053","","1",53.8,62.2,1,10.526,0.656654976,0.413732442,1,0.018,1707228,1706446,"C",NA,NA,NA,NA
"2731",2750,"orf19.5054","","1",122.8,136.9,1.1,1.021,0.646702079,0.547152568,1,0.059,1707564,1708466,"W",NA,NA,NA,NA
"2732",2751,"orf19.5056","","1",128.5,114,0.9,0.95,0.777849703,0.392238028,1.1,0.114,1709964,1708525,"C",NA,NA,NA,NA
"2733",2752,"orf19.5057","","1",80.7,81.5,1,3.611,0.958002566,0.879199501,1,0.096,1710213,1711466,"W",NA,NA,NA,NA
"2734",2753,"orf19.5058","SMI1","1",3223.2,4250.9,1.3,0.321,0.253841576,0.082863284,1,0.044,1713620,1711758,"C",NA,NA,NA,NA
"2735",2754,"orf19.5059","GCS1","1",1623.5,1293,0.8,0.493,0.638750926,0.354020441,1,0.023,1717055,1714737,"C",NA,NA,NA,NA
"2736",2755,"orf19.5061","ADE5,7","1",2380.6,2029.5,0.9,0.375,0.86060846,0.538834511,1,0.087,1720995,1718587,"C",NA,NA,NA,NA
"2737",2756,"orf19.5063","","1",4049.8,3965.3,1,0.153,0.850890868,0.678194232,1,0.039,1722918,1723493,"W",NA,NA,NA,NA
"2738",2757,"orf19.5064","MRPL3","1",675.6,750.3,1.1,0.516,0.675524712,0.36098556,1,0.049,1725072,1723858,"C",NA,NA,NA,NA
"2739",2758,"orf19.5065","","1",326.3,329.9,1,0.447,0.647580319,0.31566159,1,0.047,1727666,1726263,"C",NA,NA,NA,NA
"2740",2759,"orf19.5066","","1",157.8,191.7,1.2,0.297,0.889903059,0.155487861,1,0.055,1730502,1729702,"C",NA,NA,NA,NA
"2741",2760,"orf19.5067","","1",683,809.6,1.2,0.127,0.255359405,0.115651786,1,0.042,1730783,1731481,"W",NA,NA,NA,NA
"2742",2761,"orf19.5068","","1",446.7,529.9,1.2,0.423,0.50585878,0.184857626,1,0.047,1735358,1731684,"C",NA,NA,NA,NA
"2743",2762,"orf19.5069","","1",754.5,919.7,1.2,0.387,0.481300106,0.073265343,1,0.122,1737864,1737133,"C",NA,NA,NA,NA
"2744",2763,"orf19.5070","","1",725.1,528.3,0.7,0.229,0.324962499,0.027772077,1.1,0.122,1743149,1741854,"C",NA,NA,NA,NA
"2745",2764,"orf19.5071","NRP1","1",309.9,276.3,0.9,1.908,0.816163267,0.642450544,1,0.051,1747314,1749605,"W",NA,NA,NA,NA
"2746",2765,"orf19.5073","DPM1","1",3124.4,3401.2,1.1,0.265,0.965768207,0.760234824,1,0.084,1750300,1751019,"W",NA,NA,NA,NA
"2747",2766,"orf19.5074","","1",709.4,618.8,0.9,0.372,0.551236296,0.309656397,1,0.097,1751322,1753196,"W",NA,NA,NA,NA
"2748",2767,"orf19.5076","PFY1","1",4516.1,4391.1,1,0.365,0.765292764,0.757286289,1,0.038,1753657,1754037,"W",NA,NA,NA,NA
"2749",2768,"orf19.5077","","1",1875.5,2413,1.3,0.337,0.411353863,0.328600183,1,0.065,1755501,1756001,"W",NA,NA,NA,NA
"2750",2769,"orf19.5078","","1",434,763.7,1.8,0.626,0.488075819,0.20889143,1,0.097,1756580,1756987,"W",NA,NA,NA,NA
"2751",2770,"orf19.5079","CDR4","1",6926.5,6731.7,1,0.303,0.756369203,0.598653908,1.1,0.124,1758073,1762545,"W",NA,NA,NA,NA
"2752",2771,"orf19.5081","FUN12","1",4501.9,4252.2,0.9,0.241,0.882404441,0.333562975,1.1,0.108,1766850,1763797,"C",NA,NA,NA,NA
"2753",2772,"orf19.5083","DRG1","1",2638,2787.5,1.1,0.387,0.802684557,0.732068527,1,0.045,1767426,1768532,"W",NA,NA,NA,NA
"2754",2773,"orf19.5085","","1",793.1,968.4,1.2,0.551,0.589023313,0.200365139,1.1,0.102,1769083,1772358,"W",NA,NA,NA,NA
"2755",2774,"orf19.5087","BUD6","1",272.4,262.6,1,0.273,0.954096249,0.540443583,1.1,0.138,1772735,1774846,"W",NA,NA,NA,NA
"2756",2775,"orf19.5089","TERT","1",145,97.1,0.7,0.312,0.300337582,0.17275109,1.1,0.065,1777459,1774856,"C",NA,NA,NA,NA
"2757",2776,"orf19.5090","","1",247.5,302.1,1.2,0.775,0.523994077,0.081280282,1.1,0.148,1777650,1778630,"W",NA,NA,NA,NA
"2758",2777,"orf19.5092","","1",54.8,57.2,1,0.285,0.983858243,0.821954572,1,0.076,1779265,1778627,"C",NA,NA,NA,NA
"2759",2778,"orf19.5093","","1",710.6,711.1,1,0.317,0.957687338,0.885293291,1,0.061,1779375,1780433,"W",NA,NA,NA,NA
"2760",2779,"orf19.5094","BUL1","1",192,249.1,1.3,0.975,0.642349381,0.500165231,1,0.037,1782963,1780738,"C",NA,NA,NA,NA
"2761",2780,"orf19.5095","","1",1034,835,0.8,0.25,0.746775433,0.18598782,1,0.069,1789380,1785424,"C",NA,NA,NA,NA
"2762",2781,"orf19.5097","CAT8","1",339.5,315.9,0.9,0.293,0.916031725,0.348878384,1,0.058,1793606,1790436,"C",NA,NA,NA,NA
"2763",2782,"orf19.5098","NTG1","1",404.1,464.6,1.1,0.392,0.954667901,0.91738964,1,0.042,1794223,1795185,"W",NA,NA,NA,NA
"2764",2783,"orf19.5100","MLT1","1",511.4,749.5,1.5,1.235,0.420648547,0.111640667,1,0.073,1800113,1795293,"C",NA,NA,NA,NA
"2765",2784,"orf19.5101","CCR4","1",1605.7,1589,1,0.425,0.966808526,0.905460783,1,0.063,1801719,1804082,"W",NA,NA,NA,NA
"2766",2785,"orf19.5102","PLB5","1",2587.1,2019.5,0.8,0.36,0.533808198,0.275935429,1.1,0.142,1806443,1804179,"C",NA,NA,NA,NA
"2767",2786,"orf19.5103","","1",391.7,428.2,1.1,0.288,0.926020581,0.623294467,1.1,0.085,1807929,1806937,"C",NA,NA,NA,NA
"2768",2787,"orf19.5104","LTP1","1",854.3,1432.5,1.7,0.246,0.214744712,0.000158204,1,0.117,1809691,1809023,"C",NA,NA,NA,NA
"2769",2788,"orf19.5105","","1",602.2,641.7,1.1,0.334,0.730687303,0.644758116,1.1,0.104,1813627,1810187,"C",NA,NA,NA,NA
"2770",2789,"orf19.5106","DIP2","1",944.5,715.6,0.8,0.446,0.527578716,0.264925039,1,0.1,1819339,1816394,"C",NA,NA,NA,NA
"2771",2790,"orf19.5107","NOT5","1",852.5,835,1,0.384,0.957579079,0.896822689,1,0.074,1820259,1822247,"W",NA,NA,NA,NA
"2772",2791,"orf19.5110","OPY2","1",625,538.8,0.9,0.232,0.668796654,0.149185923,1.1,0.139,1823851,1825434,"W",NA,NA,NA,NA
"2773",2792,"orf19.5112","TKL1","1",12752.7,17642.6,1.4,0.339,0.709162504,0.084275257,1.1,0.145,1826680,1828713,"W",NA,NA,NA,NA
"2774",2793,"orf19.5113","ADH2","1",7294.9,9580.5,1.3,0.41,0.392777738,0.206863138,1,0.123,1830334,1829288,"C",NA,NA,NA,NA
"2775",2794,"orf19.5114","","1",486.3,808.3,1.7,0.788,0.051675557,0.015275276,1.1,0.086,1832442,1831969,"C",NA,NA,NA,NA
"2776",2795,"orf19.5117","OLE1","1",23111.4,34457.9,1.5,0.463,0.094449488,0.03678784,1.1,0.118,1835814,1834354,"C",NA,NA,NA,NA
"2777",2796,"orf19.5118","SDS24","1",855.8,835.9,1,0.575,0.975381762,0.96044669,1,0.108,1839339,1841225,"W",NA,NA,NA,NA
"2778",2797,"orf19.384","","1",786.5,727.2,0.9,2.113,0.813155125,0.583201385,1.1,0.105,1845892,1844216,"C",NA,NA,NA,NA
"2779",2798,"orf19.385","GCV2","1",1768,861.6,0.5,0.878,0.217767878,0.24275073,1,0.108,1849496,1846497,"C",NA,NA,NA,NA
"2780",2799,"orf19.386","SAM4","1",1010.4,1838,1.8,0.388,0.004309836,0.001146735,1,0.093,1851405,1850470,"C",NA,NA,NA,NA
"2781",2800,"orf19.387","GCR3","1",1052.4,731.4,0.7,0.101,0.025623602,0.002163418,1,0.063,1851872,1854532,"W",NA,NA,NA,NA
"2782",2801,"orf19.388","CAF16","1",892.2,1091.7,1.2,0.461,0.773138248,0.401669414,1,0.055,1854922,1855884,"W",NA,NA,NA,NA
"2783",2802,"orf19.389","","1",296.2,364.9,1.2,0.245,0.276463377,0.258350032,1,0.017,1856338,1855967,"C",NA,NA,NA,NA
"2784",2803,"orf19.390","CDC42","1",3526,4126.5,1.2,0.586,0.608596009,0.423359812,1,0.202,1857461,1856886,"C",NA,NA,NA,NA
"2785",2804,"orf19.391","UPC2","1",354,313.6,0.9,0.358,0.99030636,0.906826321,1.1,0.134,1860375,1858237,"C",NA,NA,NA,NA
"2786",2805,"orf19.392","","1",399.1,498.7,1.2,0.628,0.971568464,0.823331996,1,0.086,1861319,1861753,"W",NA,NA,NA,NA
"2787",2806,"orf19.393","","1",426,610.5,1.4,0.331,0.325034275,0.007921033,1.1,0.094,1862414,1861819,"C",NA,NA,NA,NA
"2788",2807,"orf19.394","","1",524.7,584.8,1.1,0.254,0.602237678,0.354643399,1,0.09,1862609,1863994,"W",NA,NA,NA,NA
"2789",2808,"orf19.395","ENO1","1",64473.9,42257.9,0.7,0.234,0.01457785,0.030389355,1,0.072,1865548,1864226,"C",NA,NA,NA,NA
"2790",2809,"orf19.396","EAF6","1",567.5,807.6,1.4,0.512,0.318467343,0.206471755,1,0.068,1866510,1867145,"W",NA,NA,NA,NA
"2791",2810,"orf19.397","","1",1394.4,1352.3,1,0.457,0.716529452,0.442327975,1,0.089,1867667,1867224,"C",NA,NA,NA,NA
"2792",2811,"orf19.398","","1",133.3,80.9,0.6,0.388,0.696311082,0.502369138,1.1,0.101,1867938,1868411,"W",NA,NA,NA,NA
"2793",2812,"orf19.399","","1",3233,3120.2,1,0.316,0.993464224,0.991352045,1,0.115,1870656,1868518,"C",NA,NA,NA,NA
"2794",2813,"orf19.400","GCF1","1",3471.5,3730.2,1.1,0.429,0.897273554,0.64866954,1,0.04,1872201,1871464,"C",NA,NA,NA,NA
"2795",2814,"orf19.401","TCP1","1",2677.2,2620.2,1,0.436,0.9289973,0.895554957,1,0.086,1872960,1874624,"W",NA,NA,NA,NA
"2796",2815,"orf19.403","PCL2","1",955.4,1078.5,1.1,0.652,0.895539912,0.82677443,1,0.068,1875646,1874882,"C",NA,NA,NA,NA
"2797",2816,"orf19.405","VCX1","1",1152.8,1328.6,1.2,0.176,0.631899762,0.126211837,1.1,0.136,1879275,1878025,"C",NA,NA,NA,NA
"2798",2817,"orf19.406","ERG1","1",865.2,951.6,1.1,0.374,0.839478788,0.418164227,1,0.1,1882136,1880646,"C",NA,NA,NA,NA
"2799",2818,"orf19.407","GCD6","1",2537.4,1979.1,0.8,0.276,0.560368976,0.229892953,1.1,0.109,1885055,1882857,"C",NA,NA,NA,NA
"2800",2819,"orf19.409","","1",45295,32418.8,0.7,0.184,0.47460617,0.1484543,1.1,0.066,1886244,1885603,"C",NA,NA,NA,NA
"2801",2820,"orf19.4720","CTR2","1",2834.8,1984.4,0.7,0.416,0.491277776,0.196434588,1,0.106,1886980,1887468,"W",NA,NA,NA,NA
"2802",2821,"orf19.4721","","1",273.8,247.5,0.9,0.358,0.778780036,0.467589147,1,0.039,1887838,1889175,"W",NA,NA,NA,NA
"2803",2822,"orf19.4722","","1",463.5,580.9,1.3,0.572,0.565023958,0.338090606,1.1,0.089,1889579,1890403,"W",NA,NA,NA,NA
"2804",2823,"orf19.4723","","1",257.8,318.2,1.2,0.673,0.721995641,0.447444471,1,0.118,1891525,1890589,"C",NA,NA,NA,NA
"2805",2824,"orf19.4724","","1",393.7,377.3,1,0.28,0.875033335,0.624261107,1,0.085,1892559,1891789,"C",NA,NA,NA,NA
"2806",2825,"orf19.4725","SWI6","1",364.6,249.1,0.7,0.251,0.756879735,0.060923632,1,0.054,1893017,1895206,"W",NA,NA,NA,NA
"2807",2826,"orf19.4726","","1",1587.8,1676,1.1,0.257,0.902686942,0.842348205,1,0.05,1895937,1895362,"C",NA,NA,NA,NA
"2808",2827,"orf19.4727","","1",725.8,773.1,1.1,0.416,0.847134915,0.735751247,1,0.084,1896273,1896740,"W",NA,NA,NA,NA
"2809",2828,"orf19.4728","","1",545.5,481.1,0.9,0.263,0.687581247,0.351765757,1,0.047,1897223,1901365,"W",NA,NA,NA,NA
"2810",2829,"orf19.4730","","1",33.9,70,1,29.883,0.332857292,0.29552664,1,0.042,1901579,1902363,"W",NA,NA,NA,NA
"2811",2830,"orf19.4731","","1",315.9,263.2,0.8,0.428,0.59477044,0.53658628,1,0.045,1903070,1904245,"W",NA,NA,NA,NA
"2812",2831,"orf19.4732","SEC24","1",2563.5,2323.2,0.9,0.299,0.576118139,0.638762237,1,0.124,1907202,1904416,"C",NA,NA,NA,NA
"2813",2832,"orf19.4733","YMC2","1",162.1,202.5,1.2,0.418,0.930763112,0.298317924,1,0.071,1907576,1908484,"W",NA,NA,NA,NA
"2814",2833,"orf19.4734","","1",316,369.4,1.2,0.816,0.601106851,0.516866153,1,0.055,1908930,1909979,"W",NA,NA,NA,NA
"2815",2834,"orf19.4735","","1",841.7,875.1,1,0.256,0.949999413,0.910026598,1.1,0.146,1910244,1911296,"W",NA,NA,NA,NA
"2816",2835,"orf19.4736","","1",802.3,727.5,0.9,1.045,0.891102543,0.901667774,1.1,0.098,1912123,1913778,"W",NA,NA,NA,NA
"2817",2836,"orf19.4737","TPO3","1",3585.6,2235.4,0.6,0.769,0.461110536,0.21053294,1.1,0.07,1914936,1916693,"W",NA,NA,NA,NA
"2818",2837,"orf19.4738","","1",906,969.8,1.1,0.808,0.74186872,0.442221102,1,0.066,1917067,1918743,"W",NA,NA,NA,NA
"2819",2838,"orf19.4739","MSS116","1",1040.6,880.9,0.8,0.215,0.81405849,0.267933547,1,0.048,1920976,1918970,"C",NA,NA,NA,NA
"2820",2839,"orf19.4740","","1",189.2,267.2,1.4,38.584,0.367722181,0.252749669,1.1,0.125,1921826,1921194,"C",NA,NA,NA,NA
"2821",2840,"orf19.4741","","1",32.2,41.1,1,1.06,0.963851933,0.863080841,1,0.157,1922673,1922090,"C",NA,NA,NA,NA
"2822",2841,"orf19.4742","","1",500.9,511,1,0.204,0.86378189,0.409216828,1,0.058,1922856,1923920,"W",NA,NA,NA,NA
"2823",2842,"orf19.4743","AFG1","1",6139.9,10283,1.7,0.829,0.794953806,0.123985967,1,0.055,1926159,1924093,"C",NA,NA,NA,NA
"2824",2843,"orf19.4744","","1",933.5,766.8,0.8,0.243,0.630961979,0.099621272,1,0.056,1928615,1926408,"C",NA,NA,NA,NA
"2825",2844,"orf19.4746","JIP5","1",872.2,764.5,0.9,0.184,0.891649233,0.322610747,1.1,0.054,1930727,1929099,"C",NA,NA,NA,NA
"2826",2845,"orf19.4747","HEM14","1",263.9,282.5,1.1,0.44,0.983916003,0.95665904,1,0.066,1931411,1933006,"W",NA,NA,NA,NA
"2827",2846,"orf19.4748","","1",85.1,97.8,1,0.897,0.513338104,0.426995104,1,0.091,1933452,1933057,"C",NA,NA,NA,NA
"2828",2847,"orf19.4749","","1",854.7,490.9,0.6,0.301,0.384552189,0.142928264,1,0.069,1933898,1935574,"W",NA,NA,NA,NA
"2829",2848,"orf19.4750","","1",60.5,75.3,1,7.593,0.671572647,0.360218597,1,0.081,1938354,1936252,"C",NA,NA,NA,NA
"2830",2849,"orf19.4751","","1",34,29.6,1,2.503,0.804987009,0.72208329,1,0.066,1938588,1939475,"W",NA,NA,NA,NA
"2831",2850,"orf19.4752","MSN4","1",672,601.6,0.9,0.304,0.713101866,0.198645086,1.1,0.041,1942792,1940516,"C",NA,NA,NA,NA
"2832",2851,"orf19.4753","PFK26","1",940.5,1055.9,1.1,0.495,0.930266876,0.85527518,1,0.084,1948259,1951699,"W",NA,NA,NA,NA
"2833",2852,"orf19.4754","ZWF1","1",5145.7,6543.8,1.3,0.315,0.20180262,0.045080835,1,0.059,1954892,1953369,"C",NA,NA,NA,NA
"2834",2853,"orf19.4755","KEX2","1",615,630.1,1,2.587,0.706418073,0.490888416,1.1,0.098,1959364,1956554,"C",NA,NA,NA,NA
"2835",2854,"orf19.4756","","1",256.8,234.4,0.9,42.326,0.528708212,0.462717806,1,0.029,1960409,1962061,"W",NA,NA,NA,NA
"2836",2855,"orf19.4757","NAR1","1",1303.6,1135.6,0.9,0.296,0.799775129,0.357269509,1,0.037,1962576,1964405,"W",NA,NA,NA,NA
"2837",2856,"orf19.4758","","1",2893.5,3727.2,1.3,0.258,0.291519234,0.046364203,1,0.07,1965098,1965838,"W",NA,NA,NA,NA
"2838",2857,"orf19.4759","COX5","1",5878.3,8863.6,1.5,0.305,0.192380588,0.011719094,1,0.066,1966889,1966392,"C",NA,NA,NA,NA
"2839",2858,"orf19.4760","","1",1450.5,1481.8,1,0.303,0.956794055,0.92953584,1,0.026,1969056,1967593,"C",NA,NA,NA,NA
"2840",2859,"orf19.4761","HST1","1",352.5,344.5,1,0.369,0.894536176,0.826439159,1,0.075,1969837,1971810,"W",NA,NA,NA,NA
"2841",2860,"orf19.4763","","1",440.2,573,1.3,0.669,0.595336117,0.365427488,1,0.076,1972938,1972258,"C",NA,NA,NA,NA
"2842",2861,"orf19.4764","","1",714.5,792.4,1.1,0.403,0.702197613,0.652511992,1,0.055,1973795,1977367,"W",NA,NA,NA,NA
"2843",2862,"orf19.4765","PGA6","1",11642,10819.5,0.9,0.313,0.698309504,0.187431746,1,0.029,1978893,1978234,"C",NA,NA,NA,NA
"2844",2863,"orf19.4766","ARG81","1",403.4,420.9,1,0.242,0.826207722,0.274029135,1,0.054,1984359,1981057,"C",NA,NA,NA,NA
"2845",2864,"orf19.4767","ZCF28","1",99.4,121.3,1.2,0.386,0.911903775,0.386574598,1,0.071,1985765,1986505,"W",NA,NA,NA,NA
"2846",2865,"orf19.4768","","1",220,186.4,0.8,0.488,0.585421134,0.329923933,1,0.037,1986872,1988467,"W",NA,NA,NA,NA
"2847",2866,"orf19.4769","IPT1","1",382.1,348.6,0.9,0.496,0.972229613,0.691790139,1.1,0.068,1991586,1993130,"W",NA,NA,NA,NA
"2848",2867,"orf19.4771","","1",423.3,419.1,1,0.438,0.614845983,0.318703414,1,0.046,1996738,1998858,"W",NA,NA,NA,NA
"2849",2868,"orf19.4772","SSU81","1",1146,1164.5,1,0.204,0.961910603,0.834326538,1,0.054,2000741,1999578,"C",NA,NA,NA,NA
"2850",2869,"orf19.4773","AOX2","1",2362.2,3551.2,1.5,1.086,0.291193896,0.009700008,1,0.045,2004893,2005990,"W",NA,NA,NA,NA
"2851",2870,"orf19.4774","AOX1","1",433.4,495.9,1.1,0.304,0.736785744,0.586280268,1.1,0.171,2007337,2008476,"W",NA,NA,NA,NA
"2852",2871,"orf19.4775","CTA8","1",1930,1121.7,0.6,0.214,0.385028131,0.00810373,1.1,0.103,2010391,2012676,"W",NA,NA,NA,NA
"2853",2872,"orf19.4776","LYS143","1",100.1,146.1,1.5,0.289,0.807699812,0.019565767,1.1,0.114,2014937,2017567,"W",NA,NA,NA,NA
"2854",2873,"orf19.4777","DAK2","1",3758.7,5921.9,1.6,0.424,0.530648106,0.018049523,1,0.078,2019470,2017683,"C",NA,NA,NA,NA
"2855",2874,"orf19.4778","LYS142","1",412.9,394,1,0.392,0.991601877,0.973530319,1.1,0.148,2020314,2022383,"W",NA,NA,NA,NA
"2856",2875,"orf19.4779","","1",3223.9,3877.9,1.2,0.28,0.582151062,0.102675507,1.1,0.116,2024443,2022581,"C",NA,NA,NA,NA
"2857",2876,"orf19.4780","","1",1032.4,1164.9,1.1,0.45,0.439145548,0.367650003,1.1,0.07,2025952,2027325,"W",NA,NA,NA,NA
"2858",2877,"orf19.4781","GRP1","1",593.5,579,1,0.199,0.986902862,0.941216546,1,0.053,2028376,2027363,"C",NA,NA,NA,NA
"2859",2878,"orf19.4783","","1",157.2,141.1,0.9,0.453,0.474469841,0.207340758,1,0.07,2030077,2028653,"C",NA,NA,NA,NA
"2860",2879,"orf19.4784","CRP1","1",861.6,1212.7,1.4,0.831,0.176401154,0.083959072,1.1,0.113,2031132,2034725,"W",NA,NA,NA,NA
"2861",2880,"orf19.4785","PTC1","1",1088.1,1404.5,1.3,0.376,0.386745561,0.056855353,1.1,0.186,2035953,2034826,"C",NA,NA,NA,NA
"2862",2881,"orf19.4786","FGR43","1",54.5,61.8,1,0.431,0.959695501,0.701817011,1,0.05,2036879,2038543,"W",NA,NA,NA,NA
"2863",2882,"orf19.4787","","1",142.8,96.4,0.7,0.502,0.877438658,0.492271099,1.1,0.1,2038995,2041187,"W",NA,NA,NA,NA
"2864",2883,"orf19.4788","ARG5,6","1",1433,1534.9,1.1,0.527,0.93360081,0.863727958,1,0.044,2043918,2041345,"C",NA,NA,NA,NA
"2865",2884,"orf19.4789","","1",29.9,82,1,2.092,0.666468798,0.131447726,1,0.08,2045612,2044719,"C",NA,NA,NA,NA
"2866",2885,"orf19.4791","","1",552.1,429.5,0.8,0.446,0.645174455,0.486384811,1,0.066,2048958,2046028,"C",NA,NA,NA,NA
"2867",2886,"orf19.4792","","1",433.2,499.1,1.2,0.377,0.979506404,0.950166356,1.1,0.081,2051811,2050138,"C",NA,NA,NA,NA
"2868",2887,"orf19.4793","","1",545.7,580.6,1.1,0.321,0.68917949,0.712081057,1,0.064,2055044,2055643,"W",NA,NA,NA,NA
"2869",2888,"orf19.4795","","1",152.8,202.3,1.3,1.358,0.712288706,0.098967916,1,0.059,2059614,2056114,"C",NA,NA,NA,NA
"2870",2889,"orf19.4796","","1",893.9,1010.2,1.1,0.519,0.844998003,0.756998408,1.1,0.074,2060917,2061447,"W",NA,NA,NA,NA
"2871",2890,"orf19.4798","","1",8515.2,7461.4,0.9,0.409,0.760374461,0.355806391,1,0.06,2064662,2061786,"C",NA,NA,NA,NA
"2872",2891,"orf19.4799","","1",307.4,316.4,1,1.572,0.924212014,0.893648079,1.1,0.051,2065935,2067767,"W",NA,NA,NA,NA
"2873",2892,"orf19.4800","RIM20","1",150.3,133,0.9,1.414,0.651972379,0.6075474,1,0.039,2067976,2070333,"W",NA,NA,NA,NA
"2874",2893,"orf19.4801","","1",220.2,184.1,0.8,0.197,0.898195081,0.12932741,1,0.07,2070537,2071934,"W",NA,NA,NA,NA
"2875",2894,"orf19.4802","FTH1","1",93.1,119.1,1.3,0.566,0.608504529,0.306904106,1,0.049,2073469,2072195,"C",NA,NA,NA,NA
"2876",2895,"orf19.4803","","1",0.5,9.4,1,15.498,0.482736667,0.455911757,1,0.095,2074984,2075361,"W",NA,NA,NA,NA
"2877",2896,"orf19.4804","LIP2","1",2.9,5.2,1,4.572,0.572725422,0.339771478,1,0.097,2075465,2076865,"W",NA,NA,NA,NA
"2878",2897,"orf19.4805","","1",143.9,143.8,1,0.435,0.921836452,0.558124711,1,0.069,2077715,2080315,"W",NA,NA,NA,NA
"2879",2898,"orf19.4807","","1",1016.8,1024.6,1,0.352,0.98385246,0.939547476,1,0.065,2080938,2081912,"W",NA,NA,NA,NA
"2880",2899,"orf19.4808","NUP188","1",367.5,313.3,0.9,0.726,0.998908385,0.993182914,1,0.047,2087100,2082172,"C",NA,NA,NA,NA
"2881",2900,"orf19.4809","ERG12","1",1145,1708.7,1.5,0.521,0.479639459,0.064582302,1,0.067,2087469,2088764,"W",NA,NA,NA,NA
"2882",2901,"orf19.4811","","1",496.7,701.6,1.4,0.278,0.202968654,0.009277278,1.1,0.144,2089856,2088870,"C",NA,NA,NA,NA
"2883",2902,"orf19.4812","","1",472.1,614.1,1.3,0.772,0.778135322,0.535156436,1,0.06,2090037,2090444,"W",NA,NA,NA,NA
